city,state_name,population,slug
Peoria,Arizona,162592,peoria-az
Pembroke Pines,Florida,162329,pembroke-pines-fl
Elk Grove,California,161007,elk-grove-ca
Salem,Oregon,160614,salem-or
Lancaster,California,159523,lancaster-ca
Corona,California,159503,corona-ca
Eugene,Oregon,159190,eugene-or
Palmdale,California,157161,palmdale-ca
Salinas,California,155662,salinas-ca
Springfield,Massachusetts,153703,springfield-ma
Pasadena,Texas,152735,pasadena-tx
Fort Collins,Colorado,152061,fort-collins-co
Hayward,California,151574,hayward-ca
Pomona,California,151348,pomona-ca
Cary,North Carolina,151088,cary-nc
Rockford,Illinois,150251,rockford-il
Alexandria,Virginia,148892,alexandria-va
Escondido,California,148738,escondido-ca
McKinney,Texas,148559,mckinney-tx
Kansas City,Kansas,148483,kansas-city-ks
Joliet,Illinois,147806,joliet-il
Sunnyvale,California,147559,sunnyvale-ca
Torrance,California,147478,torrance-ca
Bridgeport,Connecticut,147216,bridgeport-ct
Lakewood,Colorado,147214,lakewood-co
Hollywood,Florida,146526,hollywood-fl
Paterson,New Jersey,145948,paterson-nj
Naperville,Illinois,144864,naperville-il
Syracuse,New York,144669,syracuse-ny
Mesquite,Texas,143484,mesquite-tx
Dayton,Ohio,143355,dayton-oh
Savannah,Georgia,142772,savannah-ga
Clarksville,Tennessee,142357,clarksville-tn
Orange,California,139969,orange-ca
Pasadena,California,139731,pasadena-ca
Fullerton,California,138981,fullerton-ca
Killeen,Texas,137147,killeen-tx
Frisco,Texas,136791,frisco-tx
Hampton,Virginia,136699,hampton-va
McAllen,Texas,136639,mcallen-tx
Warren,Michigan,134873,warren-mi
Bellevue,Washington,133992,bellevue-wa
West Valley City,Utah,133579,west-valley-city-ut
Columbia,South Carolina,133358,columbia-sc
Olathe,Kansas,131885,olathe-ks
Sterling Heights,Michigan,131224,sterling-heights-mi
New Haven,Connecticut,130660,new-haven-ct
Miramar,Florida,130288,miramar-fl
Waco,Texas,129030,waco-tx
Thousand Oaks,California,128731,thousand-oaks-ca
Cedar Rapids,Iowa,128429,cedar-rapids-ia
Charleston,South Carolina,127999,charleston-sc
Visalia,California,127763,visalia-ca
Topeka,Kansas,127679,topeka-ks
Elizabeth,New Jersey,127558,elizabeth-nj
Gainesville,Florida,127488,gainesville-fl
Thornton,Colorado,127359,thornton-co
Roseville,California,127035,roseville-ca
Carrollton,Texas,126700,carrollton-tx
Coral Springs,Florida,126604,coral-springs-fl
Stamford,Connecticut,126456,stamford-ct
Simi Valley,California,126181,simi-valley-ca
Concord,California,125880,concord-ca
Hartford,Connecticut,125017,hartford-ct
Kent,Washington,124435,kent-wa
Lafayette,Louisiana,124276,lafayette-la
Midland,Texas,123933,midland-tx
Surprise,Arizona,123546,surprise-az
Denton,Texas,123099,denton-tx
Victorville,California,121096,victorville-ca
Evansville,Indiana,120310,evansville-in
Santa Clara,California,120245,santa-clara-ca
Abilene,Texas,120099,abilene-tx
Athens-Clarke County,Georgia,119980,athens-clarke-county-ga
Vallejo,California,118837,vallejo-ca
Allentown,Pennsylvania,118577,allentown-pa
Norman,Oklahoma,118197,norman-ok
Beaumont,Texas,117796,beaumont-tx
Independence,Missouri,117240,independence-mo
Murfreesboro,Tennessee,117044,murfreesboro-tn
Ann Arbor,Michigan,117025,ann-arbor-mi
Springfield,Illinois,117006,springfield-il
Berkeley,California,116768,berkeley-ca
Peoria,Illinois,116513,peoria-il
Provo,Utah,116288,provo-ut
El Monte,California,115708,el-monte-ca
Columbia,Missouri,115276,columbia-mo
Lansing,Michigan,113972,lansing-mi
Fargo,North Dakota,113658,fargo-nd
Downey,California,113242,downey-ca
Costa Mesa,California,112174,costa-mesa-ca
Wilmington,North Carolina,112067,wilmington-nc
Arvada,Colorado,111707,arvada-co
Inglewood,California,111542,inglewood-ca
Miami Gardens,Florida,111378,miami-gardens-fl
Carlsbad,California,110972,carlsbad-ca
Westminster,Colorado,110945,westminster-co
Rochester,Minnesota,110742,rochester-mn
Odessa,Texas,110720,odessa-tx
Manchester,New Hampshire,110378,manchester-nh
Elgin,Illinois,110145,elgin-il
West Jordan,Utah,110077,west-jordan-ut
Round Rock,Texas,109821,round-rock-tx
Clearwater,Florida,109703,clearwater-fl
Waterbury,Connecticut,109676,waterbury-ct
Gresham,Oregon,109397,gresham-or
Fairfield,California,109320,fairfield-ca
Billings,Montana,109059,billings-mt
Lowell,Massachusetts,108861,lowell-ma
San Buenaventura (Ventura),California,108817,san-buenaventura-ventura-ca
Pueblo,Colorado,108249,pueblo-co
High Point,North Carolina,107741,high-point-nc
West Covina,California,107740,west-covina-ca
Richmond,California,107571,richmond-ca
Murrieta,California,107479,murrieta-ca
Cambridge,Massachusetts,107289,cambridge-ma
Antioch,California,107100,antioch-ca
Temecula,California,106780,temecula-ca
Norwalk,California,106589,norwalk-ca
Centennial,Colorado,106114,centennial-co
Everett,Washington,105370,everett-wa
Palm Bay,Florida,104898,palm-bay-fl
Wichita Falls,Texas,104898,wichita-falls-tx
Green Bay,Wisconsin,104779,green-bay-wi
Daly City,California,104739,daly-city-ca
Burbank,California,104709,burbank-ca
Richardson,Texas,104475,richardson-tx
Pompano Beach,Florida,104410,pompano-beach-fl
North Charleston,South Carolina,104054,north-charleston-sc
Broken Arrow,Oklahoma,103500,broken-arrow-ok
Boulder,Colorado,103166,boulder-co
West Palm Beach,Florida,102436,west-palm-beach-fl
Santa Maria,California,102216,santa-maria-ca
El Cajon,California,102211,el-cajon-ca
Davenport,Iowa,102157,davenport-ia
Rialto,California,101910,rialto-ca
Las Cruces,New Mexico,101324,las-cruces-nm
San Mateo,California,101128,san-mateo-ca
Lewisville,Texas,101074,lewisville-tx
South Bend,Indiana,100886,south-bend-in
Lakeland,Florida,100710,lakeland-fl
Erie,Pennsylvania,100671,erie-pa
Tyler,Texas,100223,tyler-tx
Pearland,Texas,100065,pearland-tx
College Station,Texas,100050,college-station-tx
Kenosha,Wisconsin,99889,kenosha-wi
Sandy Springs,Georgia,99770,sandy-springs-ga
Clovis,California,99769,clovis-ca
Flint,Michigan,99763,flint-mi
Roanoke,Virginia,98465,roanoke-va
Albany,New York,98424,albany-ny
Jurupa Valley,California,98030,jurupa-valley-ca
Compton,California,97877,compton-ca
San Angelo,Texas,97492,san-angelo-tx
Hillsboro,Oregon,97368,hillsboro-or
Lawton,Oklahoma,97151,lawton-ok
Renton,Washington,97003,renton-wa
Vista,California,96929,vista-ca
Davie,Florida,96830,davie-fl
Greeley,Colorado,96539,greeley-co
Mission Viejo,California,96346,mission-viejo-ca
Portsmouth,Virginia,96205,portsmouth-va
Dearborn,Michigan,95884,dearborn-mi
South Gate,California,95677,south-gate-ca
Tuscaloosa,Alabama,95334,tuscaloosa-al
Livonia,Michigan,95208,livonia-mi
New Bedford,Massachusetts,95078,new-bedford-ma
Vacaville,California,94275,vacaville-ca
Brockton,Massachusetts,94089,brockton-ma
Roswell,Georgia,94034,roswell-ga
Beaverton,Oregon,93542,beaverton-or
Quincy,Massachusetts,93494,quincy-ma
Sparks,Nevada,93282,sparks-nv
Yakima,Washington,93257,yakima-wa
Lee's Summit,Missouri,93184,lee-s-summit-mo
Federal Way,Washington,92734,federal-way-wa
Carson,California,92599,carson-ca
Santa Monica,California,92472,santa-monica-ca
Hesperia,California,92147,hesperia-ca
Allen,Texas,92020,allen-tx
Rio Rancho,New Mexico,91956,rio-rancho-nm
Yuma,Arizona,91923,yuma-az
Westminster,California,91739,westminster-ca
Orem,Utah,91648,orem-ut
Lynn,Massachusetts,91589,lynn-ma
Redding,California,91119,redding-ca
Spokane Valley,Washington,91113,spokane-valley-wa
Miami Beach,Florida,91026,miami-beach-fl
League City,Texas,90983,league-city-tx
Lawrence,Kansas,90811,lawrence-ks
Santa Barbara,California,90412,santa-barbara-ca
Plantation,Florida,90268,plantation-fl
Sandy,Utah,90231,sandy-ut
Sunrise,Florida,90116,sunrise-fl
Macon,Georgia,89981,macon-ga
Longmont,Colorado,89919,longmont-co
Boca Raton,Florida,89407,boca-raton-fl
San Marcos,California,89387,san-marcos-ca
Greenville,North Carolina,89130,greenville-nc
Waukegan,Illinois,88826,waukegan-il
Fall River,Massachusetts,88697,fall-river-ma
Chico,California,88077,chico-ca
Newton,Massachusetts,87971,newton-ma
San Leandro,California,87965,san-leandro-ca
Reading,Pennsylvania,87893,reading-pa
Norwalk,Connecticut,87776,norwalk-ct
Fort Smith,Arkansas,87650,fort-smith-ar
Newport Beach,California,87273,newport-beach-ca
Asheville,North Carolina,87236,asheville-nc
Nashua,New Hampshire,87137,nashua-nh
Edmond,Oklahoma,87004,edmond-ok
Whittier,California,86635,whittier-ca
Nampa,Idaho,86518,nampa-id
Bloomington,Minnesota,86319,bloomington-mn
Deltona,Florida,86290,deltona-fl
Hawthorne,California,86199,hawthorne-ca
Duluth,Minnesota,86128,duluth-mn
Carmel,Indiana,85927,carmel-in
Suffolk,Virginia,85728,suffolk-va
Clifton,New Jersey,85390,clifton-nj
Citrus Heights,California,85285,citrus-heights-ca
Livermore,California,85156,livermore-ca
Tracy,California,84691,tracy-ca
Alhambra,California,84577,alhambra-ca
Kirkland,Washington,84430,kirkland-wa
Trenton,New Jersey,84349,trenton-nj
Ogden,Utah,84249,ogden-ut
Hoover,Alabama,84126,hoover-al
Cicero,Illinois,84103,cicero-il
Fishers,Indiana,83891,fishers-in
Sugar Land,Texas,83860,sugar-land-tx
Danbury,Connecticut,83684,danbury-ct
Meridian,Idaho,83596,meridian-id
Indio,California,83539,indio-ca
Concord,North Carolina,83506,concord-nc
Menifee,California,83447,menifee-ca
Champaign,Illinois,83424,champaign-il
Buena Park,California,82882,buena-park-ca
Troy,Michigan,82821,troy-mi
O'Fallon,Missouri,82809,o-fallon-mo
Johns Creek,Georgia,82788,johns-creek-ga
Bellingham,Washington,82631,bellingham-wa
Westland,Michigan,82578,westland-mi
Bloomington,Indiana,82575,bloomington-in
Sioux City,Iowa,82459,sioux-city-ia
Warwick,Rhode Island,81971,warwick-ri
Hemet,California,81750,hemet-ca
Longview,Texas,81443,longview-tx
Farmington Hills,Michigan,81295,farmington-hills-mi
Bend,Oregon,81236,bend-or
Lakewood,California,81121,lakewood-ca
Merced,California,81102,merced-ca
Mission,Texas,81050,mission-tx
Chino,California,80988,chino-ca
Redwood City,California,80872,redwood-city-ca
Edinburg,Texas,80836,edinburg-tx
Cranston,Rhode Island,80566,cranston-ri
Parma,Ohio,80429,parma-oh
New Rochelle,New York,79446,new-rochelle-ny
Lake Forest,California,79312,lake-forest-ca
