city,state,population,state_name,slug
Norfolk,VA,246139,Virginia,norfolk-va
Durham,NC,245475,North Carolina,durham-nc
Madison,WI,243344,Wisconsin,madison-wi
Lubbock,TX,239538,Texas,lubbock-tx
Irvine,CA,236716,California,irvine-ca
Winston-Salem,NC,236441,North Carolina,winston-salem-nc
Glendale,AZ,234632,Arizona,glendale-az
Garland,TX,234566,Texas,garland-tx
Hialeah,FL,233394,Florida,hialeah-fl
Reno,NV,233294,Nevada,reno-nv
Chesapeake,VA,230571,Virginia,chesapeake-va
Gilbert,AZ,229972,Arizona,gilbert-az
Baton Rouge,LA,229426,Louisiana,baton-rouge-la
Irving,TX,228653,Texas,irving-tx
Scottsdale,AZ,226918,Arizona,scottsdale-az
North Las Vegas,NV,226877,Nevada,north-las-vegas-nv
Fremont,CA,224922,California,fremont-ca
Boise City,ID,214237,Idaho,boise-city-id
Richmond,VA,214114,Virginia,richmond-va
San Bernardino,CA,213708,California,san-bernardino-ca
Birmingham,AL,212113,Alabama,birmingham-al
Spokane,WA,210721,Washington,spokane-wa
Rochester,NY,210358,New York,rochester-ny
Des Moines,IA,207510,Iowa,des-moines-ia
Modesto,CA,204933,California,modesto-ca
Fayetteville,NC,204408,North Carolina,fayetteville-nc
Tacoma,WA,203446,Washington,tacoma-wa
Oxnard,CA,203007,California,oxnard-ca
Fontana,CA,203003,California,fontana-ca
Columbus,GA,202824,Georgia,columbus-ga
Montgomery,AL,201332,Alabama,montgomery-al
Moreno Valley,CA,201175,California,moreno-valley-ca
Shreveport,LA,200327,Louisiana,shreveport-la
Aurora,IL,199963,Illinois,aurora-il
Yonkers,NY,199766,New York,yonkers-ny
Akron,OH,198100,Ohio,akron-oh
Huntington Beach,CA,197575,California,huntington-beach-ca
Little Rock,AR,197357,Arkansas,little-rock-ar
Augusta-Richmond County,GA,197350,Georgia,augusta-richmond-county-ga
Amarillo,TX,196429,Texas,amarillo-tx
Glendale,CA,196021,California,glendale-ca
Mobile,AL,194899,Alabama,mobile-al
Grand Rapids,MI,192294,Michigan,grand-rapids-mi
Salt Lake City,UT,191180,Utah,salt-lake-city-ut
Tallahassee,FL,186411,Florida,tallahassee-fl
Huntsville,AL,186254,Alabama,huntsville-al
Grand Prairie,TX,183372,Texas,grand-prairie-tx
Knoxville,TN,183270,Tennessee,knoxville-tn
Worcester,MA,182544,Massachusetts,worcester-ma
Newport News,VA,182020,Virginia,newport-news-va
Brownsville,TX,181860,Texas,brownsville-tx
